id,title,description,location,company,url
1,ML Engineer,"We are hiring a ML Engineer. Required skills include JavaScript, CI/CD, TypeScript, SQL, PostgreSQL. Experience with scalable systems and teamwork is expected.",remote,E-commerce Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4313057332https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4358540406https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359373732
2,Data Engineer,"We are hiring a Data Engineer. Required skills include Java, TypeScript, Node.js, SQL, Flask, Docker. Experience with scalable systems and teamwork is expected.",hybrid,Startup,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
3,DevOps Engineer,"We are hiring a DevOps Engineer. Required skills include Flask, Kubernetes, TypeScript, Django. Experience with scalable systems and teamwork is expected.",remote,E-commerce Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
4,Frontend Engineer,"We are hiring a Frontend Engineer. Required skills include Kubernetes, AWS, PostgreSQL, MongoDB, CSS. Experience with scalable systems and teamwork is expected.",onsite,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
5,Backend Developer,"We are hiring a Backend Developer. Required skills include AWS, Node.js, Docker, Hibernate. Experience with scalable systems and teamwork is expected.",hybrid,E-commerce Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
6,Data Engineer,"We are hiring a Data Engineer. Required skills include HTML, Docker, Node.js, React. Experience with scalable systems and teamwork is expected.",hybrid,Startup,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4313057332https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4358540406https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359373732
7,Software Engineer,"We are hiring a Software Engineer. Required skills include JavaScript, React, MongoDB, AWS, CI/CD. Experience with scalable systems and teamwork is expected.",remote,Amazon,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4313057332https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4358540406https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359373732
8,Software Engineer,"We are hiring a Software Engineer. Required skills include Docker, Spring Boot, Django, React, MongoDB, JavaScript. Experience with scalable systems and teamwork is expected.",hybrid,E-commerce Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
9,Data Engineer,"We are hiring a Data Engineer. Required skills include Hibernate, JavaScript, SQL, React, PostgreSQL. Experience with scalable systems and teamwork is expected.",onsite,Microsoft,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4313057332https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4358540406https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359373732
10,Backend Developer,"We are hiring a Backend Developer. Required skills include JavaScript, Flask, Java. Experience with scalable systems and teamwork is expected.",onsite,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4341785224
11,Software Engineer,"We are hiring a Software Engineer. Required skills include JavaScript, CI/CD, Spring Boot, AWS, HTML, Django. Experience with scalable systems and teamwork is expected.",hybrid,Startup,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4313057332https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4358540406https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4359373732
12,Java Developer,"We are hiring a Java Developer. Required skills include Express, Kubernetes, Flask, Docker, HTML, MongoDB. Experience with scalable systems and teamwork is expected.",onsite,Google,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4341785224
13,DevOps Engineer,"We are hiring a DevOps Engineer. Required skills include Express, React, Hibernate, CSS, Flask, JavaScript. Experience with scalable systems and teamwork is expected.",remote,Netflix,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4341785224
14,Software Engineer,"We are hiring a Software Engineer. Required skills include Node.js, HTML, AWS, Java, Express, Hibernate. Experience with scalable systems and teamwork is expected.",hybrid,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
15,Python Developer,"We are hiring a Python Developer. Required skills include React, HTML, Node.js, CI/CD. Experience with scalable systems and teamwork is expected.",remote,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
16,React Developer,"We are hiring a React Developer. Required skills include React, Django, Hibernate, CSS, AWS. Experience with scalable systems and teamwork is expected.",hybrid,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4341785224
17,Python Developer,"We are hiring a Python Developer. Required skills include JavaScript, React, Spring Boot. Experience with scalable systems and teamwork is expected.",remote,Netflix,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348594440
18,ML Engineer,"We are hiring a ML Engineer. Required skills include PostgreSQL, React, SQL, AWS, TypeScript. Experience with scalable systems and teamwork is expected.",hybrid,FinTech Company,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4341785224
